Лабораторная работа №5. Вариант 2.
Численные методы решения ДУЧП параболического типа.
Получили таблицу с коэффициентом при f(t) равном 1.
Неявный метод с выполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0329     0,0143     0,0088     0,0069     0,0060     0,0054     0,0054     0,0067     0,0128     0,0368
 0,0950|     0,0950     0,0323     0,0144     0,0089     0,0069     0,0060     0,0055     0,0054     0,0067     0,0126     0,0349
 0,0900|     0,0900     0,0318     0,0144     0,0090     0,0069     0,0060     0,0055     0,0054     0,0067     0,0124     0,0331
 0,0850|     0,0850     0,0312     0,0145     0,0090     0,0070     0,0060     0,0055     0,0055     0,0067     0,0122     0,0313
 0,0800|     0,0800     0,0306     0,0145     0,0091     0,0070     0,0060     0,0055     0,0055     0,0068     0,0120     0,0294
 0,0750|     0,0750     0,0301     0,0146     0,0092     0,0071     0,0061     0,0055     0,0055     0,0068     0,0118     0,0276
 0,0700|     0,0700     0,0295     0,0147     0,0092     0,0071     0,0061     0,0055     0,0056     0,0068     0,0116     0,0258
 0,0650|     0,0650     0,0289     0,0147     0,0093     0,0071     0,0061     0,0056     0,0056     0,0068     0,0114     0,0239
 0,0600|     0,0600     0,0284     0,0148     0,0094     0,0072     0,0061     0,0056     0,0056     0,0069     0,0111     0,0221
 0,0550|     0,0550     0,0278     0,0148     0,0095     0,0072     0,0061     0,0056     0,0056     0,0069     0,0109     0,0202
 0,0500|     0,0500     0,0164     0,0072     0,0044     0,0034     0,0030     0,0027     0,0027     0,0033     0,0064     0,0184
 0,0450|     0,0450     0,0151     0,0068     0,0043     0,0034     0,0030     0,0027     0,0027     0,0032     0,0059     0,0166
 0,0400|     0,0400     0,0138     0,0065     0,0043     0,0034     0,0030     0,0027     0,0026     0,0031     0,0054     0,0147
 0,0350|     0,0350     0,0125     0,0061     0,0042     0,0034     0,0030     0,0027     0,0026     0,0030     0,0049     0,0129
 0,0300|     0,0300     0,0111     0,0058     0,0041     0,0034     0,0030     0,0027     0,0026     0,0029     0,0045     0,0110
 0,0250|     0,0250     0,0098     0,0055     0,0040     0,0034     0,0030     0,0027     0,0026     0,0027     0,0040     0,0092
 0,0200|     0,0200     0,0085     0,0051     0,0039     0,0034     0,0030     0,0027     0,0026     0,0026     0,0035     0,0074
 0,0150|     0,0150     0,0072     0,0048     0,0039     0,0034     0,0030     0,0027     0,0025     0,0025     0,0030     0,0055
 0,0100|     0,0100     0,0058     0,0044     0,0038     0,0034     0,0030     0,0027     0,0025     0,0024     0,0025     0,0037
 0,0050|     0,0050     0,0045     0,0041     0,0037     0,0034     0,0030     0,0027     0,0025     0,0022     0,0020     0,0018
 0,0000|     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000
 t / x |     0,0000     0,1000     0,2000     0,3000     0,4000     0,5000     0,6000     0,7000     0,8000     0,9000     1,0000

Получили таблицу с коэффициентом при f(t) равном 1.1.
Неявный метод с выполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0334     0,0150     0,0095     0,0075     0,0065     0,0060     0,0059     0,0071     0,0131     0,0368
 0,0950|     0,0950     0,0328     0,0150     0,0096     0,0075     0,0066     0,0060     0,0059     0,0071     0,0129     0,0349
 0,0900|     0,0900     0,0323     0,0151     0,0096     0,0076     0,0066     0,0060     0,0059     0,0071     0,0127     0,0331
 0,0850|     0,0850     0,0317     0,0152     0,0097     0,0076     0,0066     0,0060     0,0059     0,0071     0,0124     0,0313
 0,0800|     0,0800     0,0312     0,0152     0,0098     0,0077     0,0066     0,0060     0,0060     0,0072     0,0122     0,0294
 0,0750|     0,0750     0,0306     0,0153     0,0098     0,0077     0,0066     0,0060     0,0060     0,0072     0,0120     0,0276
